node_id,energy_used,carbon_intensity,energy_threshold,carbon_threshold,claimed_energy,claimed_carbon,honest,efficient,proof_valid,attestation_valid,reward_without_vec,reward_with_vec
node-035,127,106,125,85,115,94,False,False,False,False,100.0,0.0
node-036,91,80,97,87,91,80,True,True,True,True,100.0,53.55788600545088
node-037,101,102,95,75,101,102,True,False,False,True,70.0,0.0
node-038,48,63,102,72,48,63,True,True,True,True,100.0,66.36029411764706
node-039,88,33,121,86,71,22,False,True,True,False,100.0,0.0
node-040,62,49,92,79,62,49,True,True,True,True,100.0,67.64584479911943
node-041,80,23,95,49,80,23,True,True,True,True,100.0,67.21267454350162
node-042,50,50,83,86,50,50,True,True,True,True,100.0,70.40487531521434
node-043,115,74,90,71,115,74,True,False,False,True,70.0,0.0
node-044,74,38,90,69,51,18,False,True,True,False,100.0,0.0
node-045,82,54,89,57,82,54,True,True,True,True,100.0,53.282081608515675
node-046,77,53,83,65,62,47,False,True,True,False,100.0,0.0
node-047,116,65,112,50,116,65,True,False,False,True,70.0,0.0
node-048,82,22,105,52,82,22,True,True,True,True,100.0,69.8992673992674
node-049,111,30,119,50,111,30,True,True,True,True,100.0,61.680672268907564
node-050,75,36,139,61,75,36,True,True,True,True,100.0,71.75669300625074
node-051,125,57,105,53,125,57,True,False,False,True,70.0,0.0
node-052,51,24,80,74,51,24,True,True,True,True,100.0,75.95439189189189
node-053,136,62,114,58,136,62,True,False,False,True,70.0,0.0
node-054,170,79,136,60,170,79,True,False,False,True,70.0,0.0
node-055,115,58,119,86,115,58,True,True,True,True,100.0,58.97987101817471
node-056,78,34,139,87,65,25,False,True,True,False,100.0,0.0
node-057,58,63,97,63,58,63,True,True,True,True,100.0,60.051546391752574
node-058,123,66,120,61,123,66,True,False,False,True,70.0,0.0
node-059,141,80,120,72,141,80,True,False,False,True,70.0,0.0
node-060,99,55,120,61,99,55,True,True,True,True,100.0,56.834016393442624
node-061,54,22,80,52,33,13,False,True,True,False,100.0,0.0
node-062,104,22,107,53,83,11,False,True,True,False,100.0,0.0
node-063,116,46,123,60,116,46,True,True,True,True,100.0,57.256097560975604
node-064,129,65,119,54,129,65,True,False,False,True,70.0,0.0
node-065,87,70,136,71,64,58,False,True,True,False,100.0,0.0
node-066,99,85,97,55,99,85,True,False,False,True,70.0,0.0
node-067,64,34,94,57,64,34,True,True,True,True,100.0,68.06644270250092
node-068,62,22,94,46,62,22,True,True,True,True,100.0,71.55411655874191
node-069,113,41,129,62,113,41,True,True,True,True,100.0,61.56851712928232
node-070,67,38,140,46,49,32,False,True,True,False,100.0,0.0
node-071,65,75,86,83,65,75,True,True,True,True,100.0,58.514289717007564
node-072,69,36,118,77,58,18,False,True,True,False,100.0,0.0
node-073,57,43,80,78,57,43,True,True,True,True,100.0,68.40544871794872
node-074,84,30,107,49,84,30,True,True,True,True,100.0,65.06770932672134
node-075,141,78,122,52,141,78,True,False,False,True,70.0,0.0
node-076,57,46,100,70,57,46,True,True,True,True,100.0,69.32142857142858
node-077,117,39,122,69,117,39,True,True,True,True,100.0,61.89415538132573
node-078,118,107,105,80,118,107,True,False,False,True,70.0,0.0
node-079,158,110,130,82,158,110,True,False,False,True,70.0,0.0
node-080,66,25,123,58,66,25,True,True,True,True,100.0,75.80950378469302
node-081,50,72,98,77,50,72,True,True,True,True,100.0,63.8682745825603
node-082,152,69,140,60,152,69,True,False,False,True,70.0,0.0
node-083,49,34,81,47,49,34,True,True,True,True,100.0,66.79143682689782
node-084,69,83,106,85,69,83,True,True,True,True,100.0,59.31465038845727
node-085,102,26,105,60,79,14,False,True,True,False,100.0,0.0
node-086,106,96,91,89,106,96,True,False,False,True,70.0,0.0
node-087,85,48,109,53,85,48,True,True,True,True,100.0,57.86307772200103
node-088,102,77,119,77,102,77,True,True,True,True,100.0,53.57142857142857
node-089,85,37,90,75,85,37,True,True,True,True,100.0,64.05555555555556
node-090,157,82,129,78,157,82,True,False,False,True,70.0,0.0
node-091,159,68,125,63,159,68,True,False,False,True,70.0,0.0
node-092,58,24,88,54,58,24,True,True,True,True,100.0,72.41161616161617
node-093,48,33,106,71,48,33,True,True,True,True,100.0,77.0595269731597
node-094,47,68,133,71,47,68,True,True,True,True,100.0,67.2217515620036
node-095,83,68,116,69,83,68,True,True,True,True,100.0,57.47438780609695
node-096,96,58,104,71,96,58,True,True,True,True,100.0,56.50054171180932
node-097,168,60,137,59,168,60,True,False,False,True,70.0,0.0
node-098,91,30,104,66,91,30,True,True,True,True,100.0,66.76136363636364
node-099,113,21,133,74,113,21,True,True,True,True,100.0,71.664803901646
node-100,55,61,138,70,55,61,True,True,True,True,100.0,68.25051759834369
node-101,123,77,107,53,123,77,True,False,False,True,70.0,0.0
node-102,124,75,100,58,124,75,True,False,False,True,70.0,0.0
node-103,129,105,128,71,129,105,True,False,False,True,70.0,0.0
node-104,124,69,83,67,124,69,True,False,False,True,70.0,0.0
node-105,129,85,128,46,129,85,True,False,False,True,70.0,0.0
node-106,81,33,89,60,57,20,False,True,True,False,100.0,0.0
node-107,59,30,129,68,59,30,True,True,True,True,100.0,77.53647970816233
node-108,81,44,99,51,81,44,True,True,True,True,100.0,57.976827094474146
node-109,98,51,105,90,98,51,True,True,True,True,100.0,62.5
node-110,83,35,86,89,83,35,True,True,True,True,100.0,66.0406323490985
node-111,157,104,130,81,157,104,True,False,False,True,70.0,0.0
node-112,110,108,84,77,110,108,True,False,False,True,70.0,0.0
node-113,74,65,86,72,74,65,True,True,True,True,100.0,55.91892764857881
node-114,86,37,89,72,86,37,True,True,True,True,100.0,62.995474406991256
node-115,79,40,119,79,79,40,True,True,True,True,100.0,70.74513349643655
node-116,162,75,134,60,162,75,True,False,False,True,70.0,0.0
node-117,88,21,128,74,88,21,True,True,True,True,100.0,75.7179054054054
node-118,127,86,111,65,127,86,True,False,False,True,70.0,0.0
node-119,97,116,97,83,97,116,True,False,False,True,100.0,0.0
node-120,107,55,140,57,90,35,False,True,True,False,100.0,0.0
node-121,56,57,121,90,56,57,True,True,True,True,100.0,72.59641873278238
node-122,131,93,94,70,131,93,True,False,False,True,70.0,0.0
node-123,87,42,110,80,87,42,True,True,True,True,100.0,67.10227272727273
node-124,131,86,124,74,131,86,True,False,False,True,70.0,0.0
node-125,89,31,100,52,89,31,True,True,True,True,100.0,62.84615384615384
node-126,129,91,92,58,129,91,True,False,False,True,70.0,0.0
node-127,82,34,118,63,82,34,True,True,True,True,100.0,69.13505515200431
node-128,53,37,103,56,53,37,True,True,True,True,100.0,70.61806518723995
node-129,53,40,82,48,53,40,True,True,True,True,100.0,63.00813008130082
node-130,153,106,135,76,128,87,False,False,False,False,100.0,0.0
node-131,131,63,101,56,131,63,True,False,False,True,70.0,0.0
node-132,172,52,132,49,172,52,True,False,False,True,70.0,0.0
node-133,50,35,89,54,50,35,True,True,True,True,100.0,69.75135247607159
node-134,84,34,87,80,84,34,True,True,True,True,100.0,65.23706896551724
node-135,83,75,129,78,83,75,True,True,True,True,100.0,59.87626714370901
node-136,57,68,117,72,57,68,True,True,True,True,100.0,64.2094017094017
node-137,55,50,93,85,55,50,True,True,True,True,100.0,70.50917141049968
node-138,119,118,91,80,94,104,False,False,False,False,70.0,0.0
node-139,111,63,82,59,111,63,True,False,False,True,70.0,0.0
node-140,120,32,123,59,120,32,True,True,True,True,100.0,62.05043406366267
node-141,103,37,107,52,103,37,True,True,True,True,100.0,58.14611790079079
node-142,151,92,132,54,123,78,False,False,False,False,100.0,0.0
node-143,133,69,108,52,133,69,True,False,False,True,70.0,0.0
node-144,114,106,112,79,114,106,True,False,False,True,70.0,0.0
node-145,141,101,127,65,141,101,True,False,False,True,70.0,0.0
node-146,79,38,117,46,79,38,True,True,True,True,100.0,62.46748420661464
node-147,62,31,82,56,62,31,True,True,True,True,100.0,67.25827526132404
node-148,56,50,117,72,56,50,True,True,True,True,100.0,70.67307692307692
node-149,99,30,102,71,99,30,True,True,True,True,100.0,65.17191383595691
node-150,126,106,101,71,126,106,True,False,False,True,70.0,0.0
node-151,89,99,82,74,63,94,False,False,False,False,100.0,0.0
node-152,155,102,122,79,155,102,True,False,False,True,70.0,0.0
node-153,71,37,119,76,71,37,True,True,True,True,100.0,72.91298098186643
node-154,107,27,115,53,107,27,True,True,True,True,100.0,64.00328137817883
node-155,91,104,81,85,91,104,True,False,False,True,70.0,0.0
node-156,122,74,115,45,122,74,True,False,False,True,70.0,0.0
node-157,185,70,140,52,185,70,True,False,False,True,70.0,0.0
node-158,105,51,112,90,105,51,True,True,True,True,100.0,62.39583333333334
node-159,147,112,109,80,133,105,False,False,False,False,70.0,0.0
node-160,62,20,97,71,62,20,True,True,True,True,100.0,76.97836503557427
node-161,87,51,98,64,87,51,True,True,True,True,100.0,57.8842474489796
node-162,87,54,135,54,87,54,True,True,True,True,100.0,58.88888888888889
node-163,89,35,104,74,89,35,True,True,True,True,100.0,66.7814449064449
node-164,50,40,116,69,50,40,True,True,True,True,100.0,74.73138430784607
node-165,94,62,127,75,94,62,True,True,True,True,100.0,60.829396325459314
node-166,49,36,130,86,49,36,True,True,True,True,100.0,80.1118067978533
node-167,140,88,112,82,140,88,True,False,False,True,70.0,0.0
node-168,154,83,113,74,142,63,False,False,False,False,70.0,0.0
node-169,128,25,130,61,128,25,True,True,True,True,100.0,65.13871374527112
node-170,93,40,134,66,93,40,True,True,True,True,100.0,67.49773857982812
node-171,114,24,120,90,114,24,True,True,True,True,100.0,69.58333333333333
node-172,81,27,119,49,81,27,True,True,True,True,100.0,69.20768307322929
node-173,167,56,127,50,167,56,True,False,False,True,70.0,0.0
node-174,50,40,108,55,50,40,True,True,True,True,100.0,70.24410774410774
node-175,63,27,130,48,63,27,True,True,True,True,100.0,73.82211538461539
node-176,66,31,113,71,66,31,True,True,True,True,100.0,74.4827371307491
node-177,60,83,85,84,60,83,True,True,True,True,100.0,57.65056022408963
node-178,77,49,138,82,59,44,False,True,True,False,100.0,0.0
node-179,65,24,137,74,65,24,True,True,True,True,100.0,80.03057802327875
node-180,135,83,108,67,135,83,True,False,False,True,70.0,0.0
node-181,106,26,109,64,106,26,True,True,True,True,100.0,65.53182339449542
node-182,89,38,95,69,89,38,True,True,True,True,100.0,62.81083142639206
node-183,124,90,81,87,124,90,True,False,False,True,70.0,0.0
node-184,81,49,138,83,81,49,True,True,True,True,100.0,70.56705081194342
node-185,134,75,118,67,134,75,True,False,False,True,70.0,0.0
node-186,84,48,120,51,84,48,True,True,True,True,100.0,58.970588235294116
node-187,100,102,82,82,100,102,True,False,False,True,70.0,0.0
node-188,161,94,127,71,161,94,True,False,False,True,70.0,0.0
node-189,77,72,113,77,77,72,True,True,True,True,100.0,59.58797839328813
node-190,161,82,140,75,161,82,True,False,False,True,70.0,0.0
node-191,95,47,109,49,68,31,False,True,True,False,100.0,0.0
node-192,74,43,85,70,56,26,False,True,True,False,100.0,0.0
node-193,146,115,132,85,146,115,True,False,False,True,70.0,0.0
node-194,59,28,81,84,59,28,True,True,True,True,100.0,73.4567901234568
node-195,146,81,120,74,146,81,True,False,False,True,70.0,0.0
node-196,119,54,88,47,119,54,True,False,False,True,70.0,0.0
node-197,115,83,86,60,115,83,True,False,False,True,70.0,0.0
node-198,64,73,122,89,64,73,True,True,True,True,100.0,66.37962792411125
node-199,80,22,121,51,80,22,True,True,True,True,100.0,72.6867606546751
node-200,75,43,124,68,75,43,True,True,True,True,100.0,69.07020872865274
